#framenum,queue density
1,0.0233427
2,0.0420168
3,0.0569561
4,0.0560224
5,0.0634921
6,0.0578898
7,0.070028
8,0.0690943
9,0.0606909
10,0.0606909
11,0.0662932
12,0.0746965
13,0.0616246
14,0.0774977
15,0.0662932
16,0.0606909
17,0.0681606
18,0.0812325
19,0.0774977
20,0.0756303
21,0.0746965
22,0.0728291
23,0.0877684
24,0.085901
25,0.0952381
26,0.0971055
27,0.0980392
28,0.103641
29,0.0933707
30,0.0905696
31,0.0989729
32,0.0933707
33,0.0877684
34,0.0793651
35,0.0756303
36,0.076564
37,0.0830999
38,0.105509
39,0.102708
40,0.103641
41,0.102708
42,0.105509
43,0.106443
44,0.104575
45,0.112979
46,0.0915033
47,0.0896359
48,0.092437
49,0.0887021
50,0.0887021
51,0.0840336
52,0.0896359
53,0.0877684
54,0.0830999
55,0.0756303
56,0.0774977
57,0.0821662
58,0.0821662
59,0.076564
60,0.0802988
61,0.0830999
62,0.0774977
63,0.0840336
64,0.085901
65,0.0905696
66,0.0905696
67,0.123249
68,0.118581
69,0.111111
70,0.0830999
71,0.0915033
72,0.0821662
73,0.0793651
74,0.0774977
75,0.0989729
76,0.103641
77,0.0989729
78,0.0980392
79,0.10084
80,0.0971055
81,0.092437
82,0.0896359
83,0.092437
84,0.106443
85,0.122316
86,0.125117
87,0.170868
88,0.175537
89,0.185808
90,0.183007
91,0.213819
92,0.220355
93,0.217554
94,0.197012
95,0.236228
96,0.228758
97,0.230626
98,0.22409
99,0.222222
100,0.190476
101,0.199813
102,0.24183
103,0.26704
104,0.268908
105,0.293184
106,0.294118
107,0.289449
108,0.310924
109,0.393091
110,0.362278
111,0.272642
112,0.3324
113,0.303455
114,0.305322
115,0.285714
116,0.305322
117,0.32493
118,0.3324
119,0.412698
120,0.432306
121,0.44071
122,0.453782
123,0.470588
124,0.493931
125,0.528478
126,0.475257
127,0.486461
128,0.489262
129,0.492063
130,0.54155
131,0.561158
132,0.568627
133,0.5845
134,0.577031
135,0.54155
136,0.539683
137,0.581699
138,0.57423
139,0.579832
140,0.591036
141,0.592904
142,0.597572
143,0.581699
144,0.525677
145,0.517274
146,0.503268
147,0.558357
148,0.576097
149,0.578898
150,0.612512
151,0.577965
152,0.604108
153,0.614379
154,0.54902
155,0.581699
156,0.5845
157,0.587302
158,0.555556
159,0.552754
160,0.577031
161,0.578898
162,0.59944
163,0.596639
164,0.605976
165,0.565826
166,0.568627
167,0.59197
168,0.611578
169,0.618114
170,0.622782
171,0.633987
172,0.59197
173,0.580766
174,0.581699
175,0.611578
176,0.581699
177,0.591036
178,0.623716
179,0.591036
180,0.61718
181,0.619048
182,0.609711
183,0.608777
184,0.619048
185,0.614379
186,0.61718
187,0.611578
188,0.614379
189,0.61718
190,0.626517
191,0.627451
192,0.621849
193,0.619981
194,0.623716
195,0.618114
196,0.563025
197,0.580766
198,0.615313
199,0.619048
200,0.619048
201,0.652661
202,0.637722
203,0.621849
204,0.619048
205,0.625584
206,0.627451
207,0.618114
208,0.611578
209,0.605976
210,0.601307
211,0.597572
212,0.589169
213,0.610644
214,0.612512
215,0.610644
216,0.609711
217,0.610644
218,0.609711
219,0.607843
220,0.604108
221,0.616246
222,0.623716
223,0.633053
224,0.63212
225,0.634921
226,0.636788
227,0.635854
228,0.634921
229,0.637722
230,0.639589
231,0.613445
232,0.640523
233,0.638655
234,0.644258
235,0.636788
236,0.623716
237,0.64239
238,0.609711
239,0.612512
240,0.610644
241,0.638655
242,0.643324
243,0.636788
244,0.606909
245,0.625584
246,0.612512
247,0.634921
248,0.620915
249,0.638655
250,0.638655
251,0.64239
252,0.640523
253,0.587302
254,0.615313
255,0.61718
256,0.61718
257,0.620915
258,0.598506
259,0.614379
260,0.594771
261,0.646125
262,0.620915
263,0.626517
264,0.622782
265,0.619981
266,0.618114
267,0.621849
268,0.641457
269,0.638655
270,0.637722
271,0.634921
272,0.635854
273,0.627451
274,0.626517
275,0.629318
276,0.619981
277,0.619048
278,0.581699
279,0.607843
280,0.631186
281,0.607843
282,0.629318
283,0.612512
284,0.61718
285,0.625584
286,0.621849
287,0.643324
288,0.641457
289,0.650794
290,0.701214
291,0.615313
292,0.759104
293,0.643324
294,0.70028
295,0.626517
296,0.690943
297,0.640523
298,0.680672
299,0.660131
300,0.727358
301,0.79085
302,0.78338
303,0.693744
304,0.713352
305,0.690943
306,0.680672
307,0.662932
308,0.666667
309,0.664799
310,0.654528
311,0.588235
312,0.609711
313,0.563959
314,0.557423
315,0.558357
316,0.564893
317,0.623716
318,0.565826
319,0.602241
320,0.594771
321,0.555556
322,0.524743
323,0.499533
324,0.50887
325,0.486461
326,0.420168
327,0.403361
328,0.420168
329,0.607843
330,0.473389
331,0.423903
332,0.44071
333,0.466853
334,0.503268
335,0.540616
336,0.563959
337,0.556489
338,0.435107
339,0.408964
340,0.436041
341,0.364146
342,0.442577
343,0.442577
344,0.438842
345,0.428571
346,0.525677
347,0.407096
348,0.311858
349,0.313725
350,0.262372
351,0.205415
352,0.202614
353,0.18394
354,0.197012
355,0.165266
356,0.214753
357,0.233427
358,0.219421
359,0.179272
360,0.165266
361,0.154995
362,0.182073
363,0.14099
364,0.127918
365,0.154062
366,0.10831
367,0.110177
368,0.130719
369,0.101774
370,0.106443
371,0.0821662
372,0.0662932
373,0.0718954
374,0.0597572
375,0.0868347
376,0.0634921
377,0.123249
378,0.113912
379,0.160598
380,0.149393
381,0.149393
382,0.250233
383,0.231559
384,0.262372
385,0.213819
386,0.167134
387,0.162465
388,0.132586
389,0.125117
390,0.110177
391,0.092437
392,0.0802988
393,0.0662932
394,0.0410831
395,0.0261438
396,0.022409
397,0.022409
398,0.0214753
399,0.0121382
400,0.0121382
401,0.0112045
402,0.0298786
403,0.0326797
404,0.0550887
405,0.0672269
406,0.134454
407,0.149393
408,0.103641
409,0.137255
410,0.109244
411,0.104575
412,0.0933707
413,0.0634921
414,0.0616246
415,0.0485528
416,0.0308123
417,0.0214753
418,0.0214753
419,0.0214753
420,0.0112045
421,0.0140056
422,0.0196078
423,0.0588235
424,0.0980392
425,0.157796
426,0.202614
427,0.275444
428,0.304388
429,0.281979
430,0.253968
431,0.251167
432,0.195145
433,0.183007
434,0.205415
435,0.188609
436,0.14099
437,0.104575
438,0.0812325
439,0.0606909
440,0.0308123
441,0.0233427
442,0.0130719
443,0.0121382
444,0.0121382
445,0.0121382
446,0.0121382
447,0.0121382
448,0.0102708
449,0.0102708
450,0.0102708
451,0.0112045
452,0.0112045
453,0.0112045
454,0.0112045
455,0.0233427
456,0.0392157
