#framenum,queue density
1,0.0589578
2,0.0787097
3,0.0858561
4,0.0915136
5,0.0912159
6,0.101042
7,0.106005
8,0.107891
9,0.102233
10,0.0958809
11,0.0964764
12,0.0887345
13,0.0967742
14,0.0966749
15,0.0906203
16,0.0961787
17,0.0999504
18,0.111563
19,0.146005
20,0.121489
21,0.120893
22,0.121588
23,0.132605
24,0.137072
25,0.138362
26,0.141241
27,0.142035
28,0.149876
29,0.14005
30,0.141935
31,0.138263
32,0.132407
33,0.164467
34,0.130223
35,0.123772
36,0.121985
37,0.119206
38,0.119702
39,0.127543
40,0.132208
41,0.132407
42,0.134491
43,0.136576
44,0.135285
45,0.127742
46,0.127146
47,0.126849
48,0.130422
49,0.120893
50,0.117519
51,0.122481
52,0.123871
53,0.125856
54,0.123275
55,0.116427
56,0.118213
57,0.119801
58,0.117419
59,0.116725
60,0.120397
61,0.122283
62,0.122382
63,0.122184
64,0.126055
65,0.125558
66,0.127047
67,0.124764
68,0.123871
69,0.126352
70,0.147692
71,0.149181
72,0.132208
73,0.132506
74,0.130025
75,0.130223
76,0.129727
77,0.130025
78,0.134293
79,0.139156
80,0.141241
81,0.141935
82,0.146501
83,0.156725
84,0.175484
85,0.188189
86,0.198114
87,0.211911
88,0.236427
89,0.235434
90,0.242581
91,0.240993
92,0.25469
93,0.269181
94,0.263921
95,0.260248
96,0.258065
97,0.267295
98,0.275732
99,0.279504
100,0.272953
101,0.274442
102,0.317618
103,0.332705
104,0.328933
105,0.343027
106,0.354442
107,0.359801
108,0.379553
109,0.364367
110,0.408139
111,0.369826
112,0.411414
113,0.39603
114,0.425409
115,0.418263
116,0.438412
117,0.442779
118,0.449926
119,0.481886
120,0.504119
121,0.516427
122,0.531017
123,0.605955
124,0.588486
125,0.604169
126,0.607246
127,0.608337
128,0.637916
129,0.634739
130,0.620546
131,0.626998
132,0.6267
133,0.618859
134,0.645558
135,0.622432
136,0.623821
137,0.621538
138,0.639007
139,0.637122
140,0.612407
141,0.58938
142,0.585211
143,0.601092
144,0.603474
145,0.60804
146,0.603275
147,0.627395
148,0.609826
149,0.627792
150,0.662035
151,0.65995
152,0.659851
153,0.663325
154,0.662134
155,0.674938
156,0.658462
157,0.662134
158,0.660248
159,0.668983
160,0.63464
161,0.655087
162,0.651911
163,0.652705
164,0.652903
165,0.679107
166,0.687047
167,0.699454
168,0.676129
169,0.703325
170,0.699752
171,0.703127
172,0.68933
173,0.669777
174,0.667494
175,0.703127
176,0.700149
177,0.704119
