#framenum,queue density
1,0.036526
2,0.0491071
3,0.0669643
4,0.0645292
5,0.0657468
6,0.0689935
7,0.0738636
8,0.0730519
9,0.075487
10,0.0799513
11,0.0848214
12,0.0625
13,0.0596591
14,0.0625
15,0.0653409
16,0.0698052
17,0.0750812
18,0.09375
19,0.0933442
20,0.0933442
21,0.0848214
22,0.0856331
23,0.0974026
24,0.109172
25,0.101461
26,0.110795
27,0.110795
28,0.113636
29,0.10836
30,0.144075
31,0.15138
32,0.137175
33,0.133523
34,0.101461
35,0.0978084
36,0.112419
37,0.145698
38,0.13961
39,0.132711
40,0.099026
41,0.100649
42,0.100649
43,0.131494
44,0.146104
45,0.111607
46,0.0969968
47,0.0969968
48,0.0925325
49,0.0933442
50,0.0929383
51,0.0933442
52,0.10349
53,0.105519
54,0.0913149
55,0.0941558
56,0.0913149
57,0.0945617
58,0.0941558
59,0.09375
60,0.099026
61,0.0941558
62,0.0978084
63,0.0978084
64,0.0986201
65,0.0933442
66,0.0933442
67,0.0941558
68,0.0978084
69,0.099026
70,0.106331
71,0.0949675
72,0.0913149
73,0.0917208
74,0.0900974
75,0.0994318
76,0.0953734
77,0.0965909
78,0.102679
79,0.118912
80,0.103896
81,0.107549
82,0.109578
83,0.114854
84,0.126218
85,0.134334
86,0.142857
87,0.159903
88,0.173295
89,0.181818
90,0.176948
91,0.208198
92,0.191558
93,0.214692
94,0.214692
95,0.188718
96,0.205357
97,0.206169
98,0.215909
99,0.200487
100,0.212662
101,0.208198
102,0.239042
103,0.262987
104,0.258929
105,0.289367
106,0.298295
107,0.295049
108,0.299919
109,0.325081
110,0.367695
111,0.338068
112,0.349432
113,0.354302
114,0.350649
115,0.320211
116,0.359172
117,0.366883
118,0.379058
119,0.378653
120,0.482955
121,0.45211
122,0.53612
123,0.558847
124,0.567776
125,0.539367
126,0.521916
127,0.543019
128,0.549107
129,0.550325
130,0.581981
131,0.583604
132,0.610795
133,0.586851
134,0.59375
135,0.650568
136,0.64651
137,0.64651
138,0.649756
