#framenum,queue density
1,0.0784218
2,0.0962913
3,0.111998
4,0.112092
5,0.108001
6,0.121262
7,0.126701
8,0.123284
9,0.119271
10,0.118581
11,0.116731
12,0.113643
13,0.117672
14,0.117688
15,0.113361
16,0.118001
17,0.123158
18,0.146122
19,0.151781
20,0.150809
21,0.147313
22,0.152
23,0.16048
24,0.170308
25,0.169321
26,0.170544
27,0.171829
28,0.170214
29,0.168208
30,0.172158
31,0.16443
32,0.161013
33,0.159555
34,0.159885
35,0.158301
36,0.155746
37,0.152455
38,0.15222
39,0.155809
40,0.151013
41,0.152658
42,0.152345
43,0.151624
44,0.150762
45,0.154038
46,0.151781
47,0.153427
48,0.153332
49,0.148019
50,0.144805
51,0.1462
52,0.148364
53,0.148034
54,0.149665
55,0.145307
56,0.144899
57,0.14653
58,0.148175
59,0.144868
60,0.145605
61,0.145918
62,0.145573
63,0.146467
64,0.154085
65,0.146263
66,0.146827
67,0.148207
68,0.146874
69,0.148755
70,0.156389
71,0.156828
72,0.1528
73,0.152988
74,0.154869
75,0.155637
76,0.153458
77,0.155652
78,0.157157
79,0.163474
80,0.162785
81,0.166327
82,0.170308
83,0.178099
84,0.200013
85,0.20959
86,0.227005
87,0.260173
88,0.263982
89,0.277071
90,0.278858
91,0.284077
92,0.296037
93,0.292119
94,0.292808
95,0.29041
96,0.290927
97,0.298561
98,0.297918
99,0.287745
100,0.28693
101,0.296994
102,0.331165
103,0.351198
104,0.36634
105,0.374522
106,0.398175
107,0.391012
108,0.402941
109,0.407643
110,0.412079
111,0.409869
112,0.400103
113,0.407565
114,0.392313
115,0.410402
116,0.420026
117,0.435858
118,0.457317
119,0.474842
120,0.522415
121,0.542338
122,0.553624
123,0.608471
124,0.609129
125,0.587592
126,0.634789
127,0.640244
128,0.624099
129,0.62261
130,0.625854
131,0.682237
132,0.677832
133,0.674368
134,0.657047
135,0.635588
136,0.635839
137,0.634742
138,0.634523
139,0.629005
140,0.626497
141,0.629413
142,0.629867
143,0.651796
144,0.654054
145,0.655543
146,0.661295
147,0.663364
148,0.664211
149,0.664854
150,0.682911
151,0.684965
152,0.687473
153,0.68603
154,0.684494
155,0.682645
156,0.682582
157,0.683899
158,0.663255
159,0.682958
160,0.674415
161,0.675998
162,0.645213
163,0.669164
164,0.653003
165,0.671719
166,0.677472
167,0.681062
168,0.681657
169,0.687457
170,0.688303
171,0.687739
172,0.688491
173,0.688006
174,0.677864
175,0.698806
176,0.688444
177,0.687676
178,0.688303
179,0.688664
180,0.688977
181,0.689824
182,0.691454
183,0.690216
184,0.690122
185,0.68741
186,0.688397
187,0.688084
188,0.687159
189,0.690341
190,0.68719
191,0.688209
192,0.681187
193,0.681297
194,0.684008
195,0.690561
196,0.684463
197,0.666296
198,0.671829
199,0.675528
200,0.683021
201,0.67603
202,0.683805
203,0.683538
204,0.685262
205,0.677347
206,0.673757
207,0.672519
208,0.67023
209,0.677425
210,0.673867
211,0.683867
212,0.675262
213,0.699339
214,0.686109
215,0.680387
216,0.680607
217,0.672048
218,0.679651
219,0.674995
220,0.67672
221,0.680889
222,0.684526
223,0.677378
224,0.682582
225,0.682143
226,0.684808
227,0.688962
228,0.671202
229,0.673992
230,0.672754
231,0.668255
232,0.683789
233,0.673114
234,0.672487
235,0.680858
236,0.681626
237,0.682598
238,0.67534
239,0.675371
240,0.673585
241,0.676798
242,0.677158
243,0.673757
244,0.670763
245,0.667785
246,0.667957
247,0.669243
248,0.680058
249,0.67023
250,0.673099
251,0.671939
252,0.670481
253,0.669634
254,0.671986
255,0.673867
256,0.673929
257,0.678303
258,0.703947
259,0.703069
260,0.685153
261,0.677221
262,0.699433
263,0.681234
264,0.679431
265,0.679588
266,0.681736
267,0.672331
268,0.669258
269,0.670136
270,0.671939
271,0.673365
272,0.675669
273,0.685341
274,0.689212
275,0.681109
276,0.680058
277,0.681516
278,0.686375
279,0.675842
280,0.68556
281,0.693727
282,0.687112
283,0.690749
284,0.709198
285,0.71517
286,0.685262
287,0.714575
288,0.736284
289,0.76522
290,0.772352
291,0.749671
292,0.751066
293,0.771349
294,0.767666
295,0.772885
296,0.778419
297,0.790441
298,0.795614
299,0.809831
300,0.78751
301,0.797903
302,0.78751
303,0.791053
304,0.798295
305,0.781444
306,0.731504
307,0.782181
308,0.716691
309,0.747821
310,0.711126
311,0.702912
312,0.688256
313,0.644319
314,0.683146
315,0.708885
316,0.701204
317,0.692285
318,0.703712
319,0.722177
320,0.788717
321,0.675168
322,0.675685
323,0.614725
324,0.612201
325,0.626763
326,0.571008
327,0.560819
328,0.6009
329,0.554674
330,0.550975
331,0.540253
332,0.553577
333,0.604301
334,0.617735
335,0.657094
336,0.632375
337,0.631685
338,0.589473
339,0.568437
340,0.555223
341,0.53425
342,0.628049
343,0.537871
344,0.570647
345,0.596197
346,0.637861
347,0.599081
348,0.49257
349,0.443382
350,0.443131
351,0.333579
352,0.312951
353,0.309486
354,0.297668
355,0.336792
356,0.321854
357,0.306101
358,0.293812
359,0.273293
360,0.246285
361,0.238949
362,0.261505
363,0.239137
364,0.2234
365,0.227742
366,0.197473
367,0.205734
368,0.236755
369,0.200812
370,0.183037
371,0.173318
372,0.165919
373,0.152094
374,0.148599
375,0.157377
376,0.159007
377,0.179902
378,0.196893
379,0.235313
380,0.256082
381,0.275597
382,0.361292
383,0.358439
384,0.305113
385,0.333704
386,0.278246
387,0.227428
388,0.210672
389,0.201988
390,0.174008
391,0.149492
392,0.120415
393,0.109521
394,0.0895197
395,0.0698633
396,0.0594081
397,0.0591887
398,0.0530284
399,0.0526365
400,0.0519155
401,0.0531538
402,0.0897705
403,0.104003
404,0.132391
405,0.159697
406,0.216079
407,0.241003
408,0.210389
409,0.223368
410,0.214966
411,0.172315
412,0.171531
413,0.124867
414,0.098282
415,0.0997084
416,0.0785316
417,0.0644555
418,0.058546
419,0.0575114
420,0.0574017
421,0.0619475
422,0.0788451
423,0.113064
424,0.170512
