#framenum,queue density
1,0.0328947
2,0.0394737
3,0.0657895
4,0.0723684
5,0.0789474
6,0.0789474
7,0.0855263
8,0.0657895
9,0.0592105
10,0.0592105
11,0.0592105
12,0.0723684
13,0.0657895
14,0.0986842
15,0.0592105
16,0.0526316
17,0.0526316
18,0.0592105
19,0.0526316
20,0.0460526
21,0.0460526
22,0.0526316
23,0.0592105
24,0.0526316
25,0.0526316
26,0.0526316
27,0.0526316
28,0.0592105
29,0.0592105
30,0.105263
31,0.105263
32,0.105263
33,0.105263
34,0.0986842
35,0.0723684
36,0.0657895
37,0.0592105
38,0.0789474
39,0.0789474
40,0.0657895
41,0.0789474
42,0.0723684
43,0.0723684
44,0.0723684
45,0.0855263
46,0.0723684
47,0.0657895
48,0.0657895
49,0.0526316
50,0.0723684
51,0.0723684
52,0.0657895
53,0.0657895
54,0.0657895
55,0.0789474
56,0.0789474
57,0.0723684
58,0.0723684
59,0.0723684
60,0.0592105
61,0.0723684
62,0.0723684
63,0.0723684
64,0.0657895
65,0.0723684
66,0.0723684
67,0.0723684
68,0.0723684
69,0.0723684
70,0.0921053
71,0.0723684
72,0.0723684
73,0.0723684
74,0.0657895
75,0.0657895
76,0.0657895
77,0.0723684
78,0.0723684
79,0.0657895
80,0.0723684
81,0.0657895
82,0.0657895
83,0.0855263
84,0.0921053
85,0.0789474
86,0.0986842
87,0.0921053
88,0.0789474
89,0.0855263
90,0.0789474
91,0.125
92,0.131579
93,0.131579
94,0.118421
95,0.125
96,0.125
97,0.125
98,0.125
99,0.0855263
100,0.118421
101,0.144737
102,0.157895
103,0.171053
104,0.177632
105,0.276316
106,0.203947
107,0.322368
108,0.210526
109,0.256579
110,0.296053
111,0.256579
112,0.282895
113,0.269737
114,0.25
115,0.276316
116,0.230263
117,0.230263
118,0.256579
119,0.236842
120,0.355263
121,0.355263
122,0.440789
123,0.421053
124,0.513158
125,0.480263
126,0.532895
127,0.513158
128,0.526316
129,0.519737
130,0.493421
131,0.5
132,0.526316
133,0.552632
134,0.546053
135,0.480263
136,0.552632
137,0.572368
138,0.559211
139,0.539474
140,0.559211
141,0.552632
142,0.552632
143,0.546053
144,0.539474
145,0.546053
146,0.526316
147,0.526316
148,0.526316
149,0.526316
150,0.552632
151,0.546053
152,0.546053
153,0.546053
154,0.552632
155,0.532895
156,0.532895
157,0.526316
158,0.526316
159,0.519737
160,0.552632
161,0.552632
162,0.539474
163,0.539474
164,0.572368
165,0.565789
166,0.532895
167,0.519737
168,0.552632
169,0.519737
170,0.572368
171,0.532895
172,0.572368
173,0.546053
174,0.546053
175,0.565789
176,0.565789
177,0.565789
178,0.565789
179,0.539474
180,0.539474
181,0.572368
182,0.565789
183,0.559211
184,0.546053
185,0.546053
186,0.552632
187,0.559211
188,0.559211
189,0.559211
190,0.559211
191,0.552632
192,0.546053
193,0.552632
194,0.552632
195,0.552632
196,0.552632
197,0.513158
198,0.565789
199,0.559211
200,0.559211
201,0.552632
202,0.546053
203,0.559211
204,0.559211
205,0.565789
206,0.565789
207,0.565789
208,0.552632
209,0.559211
210,0.526316
211,0.519737
212,0.559211
213,0.559211
214,0.519737
215,0.526316
216,0.519737
217,0.519737
218,0.519737
219,0.519737
220,0.526316
221,0.552632
222,0.526316
223,0.552632
224,0.559211
225,0.5
226,0.526316
227,0.552632
228,0.559211
229,0.559211
230,0.552632
231,0.559211
232,0.526316
233,0.546053
234,0.552632
235,0.552632
236,0.546053
237,0.552632
238,0.559211
239,0.565789
240,0.552632
241,0.559211
242,0.552632
243,0.513158
244,0.532895
245,0.532895
246,0.546053
247,0.539474
248,0.546053
249,0.546053
250,0.546053
251,0.546053
252,0.546053
253,0.539474
254,0.546053
255,0.552632
256,0.546053
257,0.532895
258,0.539474
259,0.539474
260,0.539474
261,0.539474
262,0.539474
263,0.539474
264,0.559211
265,0.552632
266,0.546053
267,0.546053
268,0.552632
269,0.552632
270,0.552632
271,0.539474
272,0.539474
273,0.552632
274,0.552632
275,0.546053
276,0.559211
277,0.559211
278,0.559211
279,0.552632
280,0.565789
281,0.565789
282,0.559211
283,0.539474
284,0.572368
285,0.559211
286,0.526316
287,0.572368
288,0.611842
289,0.598684
290,0.592105
291,0.592105
292,0.572368
293,0.519737
294,0.631579
295,0.572368
296,0.578947
297,0.690789
298,0.546053
299,0.5
300,0.532895
301,0.638158
302,0.618421
303,0.565789
304,0.618421
305,0.605263
306,0.598684
307,0.625
308,0.434211
309,0.546053
310,0.440789
311,0.388158
312,0.473684
313,0.414474
314,0.421053
315,0.506579
316,0.585526
317,0.598684
318,0.407895
319,0.381579
320,0.368421
321,0.375
322,0.361842
323,0.565789
324,0.342105
325,0.322368
326,0.335526
327,0.256579
328,0.361842
329,0.460526
330,0.322368
331,0.289474
332,0.289474
333,0.309211
334,0.322368
335,0.348684
336,0.572368
337,0.467105
338,0.605263
339,0.447368
340,0.296053
341,0.302632
342,0.269737
343,0.322368
344,0.565789
345,0.381579
346,0.342105
347,0.328947
348,0.296053
349,0.256579
350,0.309211
351,0.203947
352,0.164474
353,0.184211
354,0.131579
355,0.151316
356,0.138158
357,0.223684
358,0.197368
359,0.138158
360,0.118421
361,0.0986842
362,0.125
363,0.131579
364,0.118421
365,0.105263
366,0.105263
367,0.0855263
368,0.111842
369,0.138158
370,0.0855263
371,0.0855263
372,0.0789474
373,0.0789474
374,0.0855263
375,0.0657895
376,0.0592105
377,0.131579
378,0.131579
379,0.151316
380,0.0592105
381,0.0986842
382,0.157895
383,0.276316
384,0.210526
385,0.125
386,0.138158
387,0.131579
388,0.118421
389,0.138158
