#framenum,queue density
1,0.0672665
2,0.0848358
3,0.0975523
4,0.103362
5,0.101697
6,0.110658
7,0.118168
8,0.117707
9,0.114059
10,0.108887
11,0.107683
12,0.101768
13,0.10825
14,0.10655
15,0.108144
16,0.112678
17,0.11792
18,0.135277
19,0.140307
20,0.141865
21,0.140165
22,0.138819
23,0.151217
24,0.15607
25,0.155892
26,0.157982
27,0.154901
28,0.15483
29,0.155078
30,0.158939
31,0.150579
32,0.148206
33,0.146718
34,0.146151
35,0.138359
36,0.141936
37,0.139669
38,0.147568
39,0.147604
40,0.144876
41,0.145408
42,0.144735
43,0.14516
44,0.143282
45,0.13928
46,0.139244
47,0.143955
48,0.141547
49,0.136658
50,0.129255
51,0.133825
52,0.137827
53,0.136304
54,0.135348
55,0.13138
56,0.131983
57,0.134604
58,0.135348
59,0.137048
60,0.133541
61,0.133222
62,0.133329
63,0.137969
64,0.141051
65,0.138181
66,0.13935
67,0.137721
68,0.138819
69,0.142503
70,0.140874
71,0.140732
72,0.141547
73,0.140767
74,0.139386
75,0.144912
76,0.142432
77,0.143141
78,0.147781
79,0.151677
80,0.151429
81,0.153236
82,0.159435
83,0.194007
84,0.211151
85,0.20017
86,0.218377
87,0.26099
88,0.276469
89,0.281287
90,0.277603
91,0.27236
92,0.276788
93,0.279055
94,0.274273
95,0.276823
96,0.293826
97,0.290496
98,0.296518
99,0.298608
100,0.296872
101,0.304346
102,0.323899
103,0.350607
104,0.352874
105,0.366654
106,0.381885
107,0.397435
108,0.40158
109,0.402005
110,0.39995
111,0.393185
112,0.393433
113,0.395346
114,0.416067
115,0.423931
116,0.438065
117,0.434664
118,0.44653
119,0.461585
120,0.513088
121,0.552938
122,0.534838
123,0.620488
124,0.622047
125,0.624491
126,0.602033
127,0.628564
128,0.631929
129,0.630194
130,0.62233
131,0.650526
132,0.650491
133,0.649853
134,0.651553
135,0.644752
136,0.645284
137,0.646452
138,0.645177
139,0.642485
140,0.635684
141,0.619284
142,0.639829
143,0.64075
144,0.619425
145,0.631008
146,0.633913
147,0.654741
148,0.656406
149,0.651978
150,0.675038
151,0.669477
152,0.671779
153,0.672346
154,0.677482
155,0.674896
156,0.676101
157,0.677022
158,0.674613
159,0.675357
160,0.670185
161,0.669477
162,0.667493
163,0.66048
164,0.670008
165,0.685204
166,0.689703
167,0.692607
168,0.676278
169,0.677234
170,0.693918
171,0.70412
172,0.683929
173,0.683327
174,0.675428
175,0.676455
176,0.683327
177,0.682796
178,0.682618
179,0.685204
180,0.682937
181,0.68361
182,0.710496
183,0.685098
184,0.684142
185,0.682725
186,0.682193
187,0.673196
188,0.682654
189,0.672771
190,0.672311
191,0.67348
192,0.683433
193,0.685098
194,0.689349
195,0.686621
