#framenum,queue density
1,0.0931876
2,0.11149
3,0.125293
4,0.126651
5,0.126245
6,0.13607
7,0.143255
8,0.14029
9,0.13989
10,0.135038
11,0.132465
12,0.128769
13,0.132644
14,0.134745
15,0.133603
16,0.136931
17,0.144449
18,0.158862
19,0.170371
20,0.166454
21,0.16296
22,0.169805
23,0.179956
24,0.189671
25,0.191979
26,0.191832
27,0.187988
28,0.189524
29,0.186036
30,0.186707
31,0.185526
32,0.179091
33,0.177204
34,0.171931
35,0.171354
36,0.168466
37,0.168862
38,0.16406
39,0.165739
40,0.168251
41,0.168235
42,0.167183
43,0.167587
44,0.166916
45,0.167512
46,0.169266
47,0.168062
48,0.169961
49,0.165311
50,0.160869
51,0.162875
52,0.162777
53,0.165315
54,0.164712
55,0.162129
56,0.160932
57,0.16278
58,0.164644
59,0.16385
60,0.16393
61,0.163651
62,0.163671
63,0.166264
64,0.188755
65,0.164781
66,0.163706
67,0.163177
68,0.164177
69,0.167504
70,0.173383
71,0.19327
72,0.172193
73,0.17194
74,0.172086
75,0.172743
76,0.171986
77,0.190922
78,0.175455
79,0.201496
80,0.182395
81,0.185814
82,0.209131
83,0.217448
84,0.219872
85,0.230746
86,0.245909
87,0.265157
88,0.283628
89,0.291555
90,0.287157
91,0.293741
92,0.311943
93,0.312257
94,0.311165
95,0.310878
96,0.306451
97,0.304313
98,0.305068
99,0.303317
100,0.298812
101,0.3063
102,0.340198
103,0.358115
104,0.360793
105,0.389005
106,0.39597
107,0.409793
108,0.400986
109,0.406154
110,0.412936
111,0.408039
112,0.390253
113,0.396638
114,0.386965
115,0.388795
116,0.408107
117,0.41361
118,0.440042
119,0.459247
120,0.507453
121,0.526595
122,0.539576
123,0.549465
124,0.554632
125,0.573161
126,0.577993
127,0.58263
128,0.589976
129,0.587137
130,0.593205
131,0.604702
132,0.608855
133,0.598673
134,0.599877
135,0.605331
136,0.610933
137,0.608854
138,0.599866
139,0.598751
140,0.5806
141,0.59233
142,0.595433
143,0.604318
144,0.60385
145,0.61097
146,0.612918
147,0.609808
148,0.615383
149,0.614136
150,0.621124
151,0.626097
152,0.622821
153,0.627013
154,0.630337
155,0.631459
156,0.631896
157,0.633775
158,0.632274
159,0.632839
160,0.620648
161,0.625005
162,0.621104
163,0.621036
164,0.633108
165,0.629792
166,0.643734
167,0.64676
168,0.653168
169,0.655408
170,0.652142
171,0.650401
172,0.647564
173,0.647395
174,0.645621
175,0.644996
176,0.647381
177,0.647984
178,0.645139
179,0.652462
180,0.651626
181,0.654342
182,0.64756
183,0.649817
184,0.649926
185,0.651453
186,0.651536
187,0.642702
188,0.65135
189,0.653786
190,0.654689
191,0.651389
192,0.66125
193,0.659684
194,0.65466
195,0.654438
196,0.65641
197,0.644581
198,0.651827
199,0.653031
200,0.651587
201,0.653259
202,0.648144
203,0.646035
204,0.64981
205,0.651988
206,0.648527
207,0.651305
208,0.642267
209,0.653628
210,0.654081
211,0.654699
212,0.654118
213,0.637089
214,0.633098
215,0.645091
216,0.649303
217,0.647938
218,0.644977
219,0.646555
220,0.640459
221,0.637404
222,0.640104
223,0.630998
224,0.643119
225,0.645242
226,0.645906
227,0.644195
228,0.639055
229,0.642355
230,0.650237
231,0.651551
232,0.652627
233,0.635323
234,0.635272
235,0.643769
236,0.649314
237,0.649691
238,0.6429
239,0.649085
240,0.656544
241,0.658142
242,0.65888
243,0.640677
244,0.641591
245,0.640366
246,0.646952
247,0.648608
248,0.653137
249,0.640548
250,0.642451
251,0.64551
252,0.643337
253,0.634125
254,0.639284
255,0.641873
256,0.642087
257,0.643134
258,0.646503
259,0.637212
260,0.637635
261,0.644086
262,0.646316
263,0.644468
264,0.643663
265,0.642604
266,0.641118
267,0.642677
268,0.638386
269,0.643187
270,0.637697
271,0.642936
272,0.647244
273,0.649921
274,0.651173
275,0.651373
276,0.650202
277,0.65152
278,0.650927
279,0.657292
280,0.655024
281,0.656654
282,0.661966
283,0.656152
284,0.650897
285,0.662414
286,0.658025
287,0.649526
288,0.660526
289,0.661727
290,0.684374
291,0.678229
292,0.692591
293,0.685082
294,0.694531
295,0.715204
296,0.711694
297,0.712278
298,0.705739
299,0.707954
300,0.71267
301,0.715858
302,0.712785
303,0.731434
304,0.706877
305,0.701753
306,0.688383
307,0.704803
308,0.675882
309,0.679712
310,0.677427
311,0.654004
312,0.649529
313,0.641341
314,0.6408
315,0.648323
316,0.639093
317,0.65802
318,0.628449
319,0.642776
320,0.640955
321,0.602356
322,0.595687
323,0.590834
324,0.57544
325,0.58845
326,0.56065
327,0.552876
328,0.544472
