#framenum,queue density
1,0.0936842
2,0.111884
3,0.125137
4,0.126845
5,0.125483
6,0.13518
7,0.142499
8,0.141536
9,0.138712
10,0.13689
11,0.133974
12,0.130383
13,0.134484
14,0.136096
15,0.13519
16,0.13871
17,0.146946
18,0.159388
19,0.170843
20,0.16818
21,0.16569
22,0.167601
23,0.181791
24,0.191278
25,0.192217
26,0.192944
27,0.188291
28,0.189794
29,0.187549
30,0.188114
31,0.187532
32,0.181152
33,0.185773
34,0.173911
35,0.169319
36,0.165936
37,0.169311
38,0.171319
39,0.172706
40,0.169414
41,0.171288
42,0.170027
43,0.170212
44,0.169909
45,0.169401
46,0.170926
47,0.170993
48,0.172274
49,0.167689
50,0.164541
51,0.166652
52,0.166247
53,0.168165
54,0.16776
55,0.165332
56,0.163987
57,0.165921
58,0.168112
59,0.167414
60,0.165386
61,0.165716
62,0.16574
63,0.167728
64,0.190433
65,0.16737
66,0.166082
67,0.165913
68,0.167811
69,0.171312
70,0.175291
71,0.195154
72,0.173037
73,0.174663
74,0.175208
75,0.176359
76,0.175601
77,0.193415
78,0.177822
79,0.204511
80,0.187208
81,0.191208
82,0.213729
83,0.220849
84,0.222717
85,0.23513
86,0.251032
87,0.271273
88,0.289904
89,0.297078
90,0.294029
91,0.300415
92,0.318393
93,0.319415
94,0.320984
95,0.317652
96,0.313394
97,0.316306
98,0.319912
99,0.314764
100,0.315946
101,0.324491
102,0.3542
103,0.375539
104,0.385454
105,0.393109
106,0.415263
107,0.421618
108,0.410625
109,0.417386
110,0.414975
111,0.403693
112,0.39623
113,0.413755
114,0.410315
115,0.41091
116,0.431937
117,0.45097
118,0.466627
119,0.484795
120,0.525525
121,0.548117
122,0.558878
123,0.578559
124,0.586083
125,0.576572
126,0.598191
127,0.593956
128,0.613264
129,0.613457
130,0.628688
131,0.634268
132,0.635648
133,0.63576
134,0.637851
135,0.628073
136,0.631325
137,0.632564
138,0.630646
139,0.633626
140,0.622333
141,0.62309
142,0.6256
143,0.628238
144,0.628205
145,0.614317
146,0.621833
147,0.620675
148,0.623518
149,0.620891
150,0.631224
151,0.631997
152,0.632219
153,0.639837
154,0.645
155,0.639708
156,0.638199
157,0.65127
158,0.638065
159,0.639958
160,0.644608
161,0.643414
162,0.643348
163,0.6289
164,0.639893
165,0.640116
166,0.652854
167,0.65745
168,0.668181
169,0.66868
170,0.656464
171,0.666944
172,0.667375
173,0.667098
174,0.665833
175,0.654455
176,0.656114
177,0.655747
178,0.656631
179,0.666649
180,0.666075
181,0.666343
182,0.664623
183,0.667005
184,0.66849
185,0.665973
186,0.666027
187,0.653279
188,0.654666
189,0.659527
190,0.662324
191,0.66311
192,0.666654
193,0.666885
194,0.657384
195,0.671452
196,0.667875
197,0.650144
198,0.662414
199,0.664527
200,0.664661
201,0.66606
202,0.655032
203,0.652478
204,0.665648
205,0.667467
206,0.666126
207,0.668594
208,0.6473
209,0.662039
210,0.662007
211,0.667003
212,0.663668
213,0.645251
214,0.644354
215,0.646721
216,0.659013
217,0.657871
218,0.646624
219,0.650613
220,0.644353
221,0.655929
222,0.656466
223,0.653952
224,0.644045
225,0.645022
226,0.657603
227,0.658171
228,0.64674
229,0.646771
230,0.661801
231,0.654031
232,0.654941
233,0.648932
234,0.647638
235,0.649817
236,0.662367
237,0.662549
238,0.650785
239,0.652153
240,0.663449
241,0.666436
242,0.667224
243,0.65048
244,0.649506
245,0.650779
246,0.651633
247,0.653337
248,0.66049
249,0.657979
250,0.661144
251,0.664396
252,0.662377
253,0.64383
254,0.647829
255,0.645857
256,0.647353
257,0.648462
258,0.649425
259,0.648803
260,0.649691
261,0.652293
262,0.663925
263,0.650048
264,0.646163
265,0.647731
266,0.647305
267,0.649911
268,0.645508
269,0.64822
270,0.648151
271,0.654161
272,0.656883
273,0.649808
274,0.654084
275,0.655828
276,0.654834
277,0.655838
278,0.655209
279,0.664875
280,0.669078
281,0.669671
282,0.659775
283,0.66064
284,0.662457
285,0.665745
286,0.66618
287,0.669302
288,0.668689
289,0.718536
290,0.71437
291,0.713063
292,0.701481
293,0.707247
294,0.713957
295,0.738697
296,0.72139
297,0.745875
298,0.728792
299,0.720322
300,0.777779
301,0.759336
302,0.722984
303,0.777154
304,0.758794
305,0.780935
306,0.718521
307,0.719964
308,0.693164
309,0.685974
310,0.701042
311,0.672022
312,0.658845
313,0.652141
314,0.67127
315,0.699816
316,0.657177
317,0.656368
318,0.670982
319,0.703285
320,0.660689
321,0.628407
322,0.633748
323,0.626765
324,0.580302
325,0.588493
326,0.587215
327,0.552658
328,0.558442
329,0.572094
330,0.576969
331,0.54949
332,0.564614
333,0.561031
334,0.598968
335,0.601525
336,0.605161
337,0.644969
338,0.601408
339,0.605192
340,0.584047
341,0.538502
342,0.544331
343,0.547432
344,0.574807
345,0.583678
346,0.610195
347,0.549474
348,0.492808
349,0.435078
350,0.388224
351,0.353942
352,0.33255
353,0.315448
354,0.316729
355,0.320517
356,0.355936
357,0.314752
358,0.31313
359,0.270789
360,0.249846
361,0.245385
362,0.253069
363,0.248146
364,0.246073
365,0.24237
366,0.231471
367,0.221455
368,0.224131
369,0.224648
370,0.222051
371,0.180289
372,0.168893
373,0.16164
374,0.153636
375,0.183644
376,0.176643
377,0.197504
378,0.213167
379,0.247603
380,0.250944
381,0.296426
382,0.377118
383,0.360512
384,0.323958
385,0.313687
386,0.266399
387,0.234496
388,0.223821
389,0.20334
390,0.180831
391,0.161158
392,0.136937
393,0.126853
394,0.10471
395,0.0842692
396,0.0732135
397,0.0729148
398,0.066957
399,0.0665762
400,0.0659753
401,0.0670879
402,0.102744
403,0.115928
404,0.149647
405,0.175757
406,0.227824
407,0.255439
408,0.225232
409,0.239434
410,0.221269
411,0.219229
412,0.162494
413,0.127833
414,0.112219
415,0.113115
416,0.0928428
417,0.0784246
418,0.0729382
419,0.0717741
420,0.0726506
421,0.0778323
422,0.0965569
423,0.131325
424,0.179408
425,0.239244
426,0.291013
427,0.344434
428,0.363373
429,0.349276
430,0.307526
431,0.275386
432,0.264156
433,0.246089
434,0.231901
435,0.233256
436,0.204262
437,0.159318
438,0.135958
439,0.111679
440,0.0914494
441,0.0768976
442,0.072124
443,0.0621425
444,0.061487
445,0.0612515
446,0.061503
447,0.0625404
448,0.0626692
449,0.0625751
450,0.0622765
451,0.0628069
452,0.0646416
453,0.0658155
454,0.0680449
455,0.0880114
456,0.1115
457,0.121084
458,0.121878
459,0.128642
460,0.12196
461,0.133687
462,0.136094
463,0.131998
464,0.115573
465,0.102924
466,0.0976675
467,0.0873271
468,0.0772571
469,0.0767231
470,0.0730814
471,0.0772809
472,0.07456
473,0.0700983
474,0.0711437
475,0.0713559
476,0.0725277
477,0.0700173
478,0.102973
479,0.129279
480,0.142179
481,0.139612
482,0.111564
483,0.104306
484,0.117415
485,0.0966684
486,0.0727012
487,0.0634963
488,0.085229
489,0.0919085
490,0.0929172
491,0.0872683
492,0.0753014
493,0.0919722
494,0.0848411
495,0.0743862
496,0.0693068
497,0.0744448
498,0.0723178
499,0.0728531
500,0.0727868
501,0.074217
502,0.0771796
503,0.102427
504,0.12472
505,0.125556
506,0.138285
507,0.129519
508,0.116493
509,0.102758
510,0.114353
511,0.11309
512,0.105909
513,0.0785318
514,0.0624632
515,0.061151
516,0.0609858
517,0.0609352
518,0.0605566
519,0.0606277
520,0.0605695
521,0.0605221
522,0.0605461
523,0.06031
524,0.0599055
525,0.0600196
526,0.0760531
527,0.0943166
528,0.0868896
529,0.123461
530,0.167546
531,0.172143
532,0.178414
533,0.196551
534,0.169267
535,0.170911
536,0.19368
537,0.167529
538,0.158327
539,0.177847
540,0.14034
541,0.116131
542,0.127627
543,0.105548
544,0.126382
545,0.105739
546,0.103765
547,0.132745
548,0.12934
549,0.129647
550,0.11978
551,0.12074
552,0.12318
553,0.125484
554,0.129567
555,0.131151
556,0.132479
557,0.130598
558,0.118583
559,0.1205
560,0.118897
561,0.118461
562,0.118917
563,0.110918
564,0.120433
565,0.121522
566,0.122296
567,0.122674
568,0.11506
569,0.114635
570,0.115845
571,0.115087
572,0.123047
573,0.116301
574,0.124791
575,0.12397
576,0.124788
577,0.130281
578,0.135165
579,0.135483
580,0.132342
581,0.131993
582,0.132205
583,0.137348
584,0.130519
585,0.136814
586,0.137454
587,0.131605
588,0.123455
589,0.126052
590,0.13307
591,0.151218
592,0.164758
593,0.209971
594,0.230199
595,0.255359
596,0.284323
597,0.302519
598,0.361651
599,0.385379
600,0.406715
601,0.442957
602,0.465264
603,0.491243
604,0.550492
605,0.588127
606,0.594256
607,0.628353
608,0.650742
609,0.656659
610,0.665961
611,0.656634
612,0.663258
613,0.667048
614,0.657852
615,0.684286
616,0.638192
617,0.659029
618,0.658254
619,0.669651
620,0.672586
621,0.662399
622,0.650392
623,0.646972
624,0.635249
625,0.639658
626,0.64067
627,0.640048
628,0.629246
629,0.629347
630,0.625872
631,0.650081
632,0.648284
633,0.651308
634,0.648318
635,0.650127
636,0.64677
637,0.651845
638,0.65139
639,0.622905
640,0.621865
641,0.619924
642,0.619055
643,0.607811
644,0.605524
645,0.609551
646,0.610694
647,0.612095
648,0.599935
649,0.607795
650,0.61432
651,0.611173
652,0.610302
653,0.605469
654,0.607115
655,0.606211
656,0.60532
657,0.606441
658,0.59822
659,0.614776
660,0.609041
661,0.611047
662,0.608391
663,0.597967
664,0.595894
665,0.595573
666,0.595022
667,0.597795
668,0.60336
669,0.603856
670,0.601969
671,0.59467
672,0.603627
673,0.602744
674,0.61205
675,0.61081
676,0.603349
677,0.614722
678,0.603139
679,0.607383
680,0.61678
681,0.618959
682,0.625576
683,0.61756
684,0.612627
685,0.61619
686,0.61956
687,0.620614
688,0.633693
689,0.639733
690,0.640931
691,0.638991
692,0.642424
693,0.637513
694,0.641728
695,0.642395
696,0.633355
697,0.637544
698,0.627464
699,0.629864
700,0.634077
701,0.623833
702,0.617167
703,0.633774
704,0.633198
705,0.626114
706,0.624957
707,0.634097
708,0.633509
709,0.636347
710,0.64079
