#framenum,queue density
1,0.093991
2,0.112429
3,0.126093
4,0.127441
5,0.127406
6,0.137042
7,0.144355
8,0.144159
9,0.143089
10,0.137477
11,0.134307
12,0.130706
13,0.134813
14,0.136948
15,0.135573
16,0.139495
17,0.147529
18,0.161158
19,0.172554
20,0.168714
21,0.166174
22,0.171829
23,0.182276
24,0.191807
25,0.194593
26,0.194989
27,0.19051
28,0.19192
29,0.188648
30,0.188828
31,0.188135
32,0.18192
33,0.186293
34,0.174647
35,0.173941
36,0.170485
37,0.173491
38,0.171892
39,0.173443
40,0.172989
41,0.172432
42,0.170783
43,0.170685
44,0.170532
45,0.170254
46,0.171531
47,0.171621
48,0.172734
49,0.168071
50,0.165034
51,0.167393
52,0.167268
53,0.16918
54,0.168537
55,0.166437
56,0.165273
57,0.167146
58,0.169039
59,0.168255
60,0.165845
61,0.166221
62,0.16628
63,0.1682
64,0.190819
65,0.169341
66,0.168561
67,0.167503
68,0.169446
69,0.173016
70,0.17641
71,0.196352
72,0.174341
73,0.175701
74,0.176163
75,0.177523
76,0.176488
77,0.194401
78,0.178887
79,0.205573
80,0.187904
81,0.191873
82,0.214865
83,0.22184
84,0.224132
85,0.236465
86,0.253115
87,0.273634
88,0.298283
89,0.309142
90,0.305442
91,0.312735
92,0.326553
93,0.326815
94,0.327916
95,0.323755
96,0.320553
97,0.323661
98,0.324068
99,0.320867
100,0.319354
101,0.327046
102,0.359929
103,0.382638
104,0.394237
105,0.406511
106,0.421045
107,0.42755
108,0.422805
109,0.42757
110,0.440498
111,0.435529
112,0.434302
113,0.435474
114,0.437418
115,0.431653
116,0.446819
117,0.464853
118,0.479411
119,0.498852
120,0.544783
121,0.562488
122,0.571913
123,0.591459
124,0.624589
125,0.626779
126,0.628872
127,0.634797
128,0.636811
129,0.636631
130,0.697046
131,0.695753
132,0.693594
133,0.690925
134,0.652251
135,0.65104
136,0.65327
137,0.653673
138,0.673353
139,0.668992
140,0.645479
141,0.645805
142,0.648661
143,0.650252
144,0.650652
145,0.652847
146,0.658066
147,0.657835
148,0.660559
149,0.65838
150,0.679161
151,0.679486
152,0.679627
153,0.682194
154,0.683178
155,0.682206
156,0.684675
157,0.680697
158,0.678934
159,0.679972
160,0.677731
161,0.674631
162,0.672072
163,0.670124
164,0.681058
165,0.689013
166,0.701349
167,0.706467
168,0.707376
169,0.708238
170,0.705091
171,0.704817
172,0.705213
173,0.704664
174,0.702564
175,0.705452
176,0.712345
177,0.704253
178,0.705675
179,0.705902
180,0.70455
181,0.704621
182,0.705334
183,0.704907
184,0.705914
185,0.703598
186,0.703661
187,0.703539
188,0.708826
189,0.713027
190,0.712478
191,0.712545
192,0.716287
193,0.715202
194,0.708826
195,0.709053
196,0.708387
197,0.705781
198,0.709457
199,0.703504
200,0.702811
201,0.703128
202,0.707121
203,0.702822
204,0.704213
205,0.707725
206,0.704127
207,0.704997
208,0.699229
209,0.703136
210,0.703057
211,0.704017
212,0.704891
213,0.702666
214,0.696415
215,0.69551
216,0.699719
217,0.698378
218,0.712698
219,0.705836
220,0.70131
221,0.702203
222,0.696932
223,0.698116
224,0.697422
225,0.698398
226,0.701263
227,0.69926
228,0.708285
229,0.701894
230,0.701553
231,0.701588
232,0.702195
233,0.706232
234,0.705526
235,0.697132
236,0.699209
237,0.699601
238,0.706463
239,0.707446
240,0.706463
241,0.708026
242,0.708834
243,0.70812
244,0.696454
245,0.699186
246,0.696262
247,0.696446
248,0.69977
249,0.69765
250,0.700416
251,0.700553
252,0.698351
253,0.694389
254,0.697109
255,0.697661
256,0.698002
257,0.699311
258,0.70421
259,0.698382
260,0.699182
261,0.70187
262,0.703453
263,0.701854
264,0.694883
265,0.696525
266,0.696388
267,0.699088
268,0.695663
269,0.699002
270,0.699617
271,0.700585
272,0.702485
273,0.706412
274,0.710597
275,0.711079
276,0.709559
277,0.710205
278,0.707297
279,0.710229
280,0.711138
281,0.711436
282,0.712447
283,0.743957
284,0.707094
285,0.713348
286,0.717459
287,0.719116
288,0.724062
289,0.762795
290,0.769805
291,0.779289
292,0.756489
293,0.72735
294,0.784077
295,0.790053
296,0.797374
297,0.778693
298,0.808793
299,0.828775
300,0.854407
301,0.800246
302,0.738459
303,0.815502
304,0.781424
305,0.801751
306,0.737319
307,0.758382
308,0.766157
309,0.700914
310,0.721883
311,0.733651
312,0.697834
313,0.662181
314,0.727193
315,0.726182
316,0.724042
317,0.701094
318,0.72838
319,0.74422
320,0.816544
321,0.655194
322,0.662777
323,0.647639
324,0.627053
325,0.647411
326,0.604501
327,0.573915
328,0.610414
329,0.581949
330,0.581247
331,0.565067
332,0.578669
333,0.612711
334,0.67706
335,0.657961
336,0.657859
337,0.656471
338,0.65327
339,0.630043
340,0.593595
341,0.573813
342,0.642125
343,0.563491
344,0.626089
345,0.605273
346,0.625619
347,0.568594
348,0.506693
349,0.458011
350,0.460687
351,0.356766
352,0.339626
353,0.331996
354,0.317849
355,0.332286
356,0.36411
357,0.330209
358,0.323727
359,0.293757
360,0.258159
361,0.254072
362,0.262215
363,0.259742
364,0.250188
365,0.251313
366,0.23217
367,0.222291
368,0.247045
369,0.233569
370,0.22291
371,0.196443
372,0.170618
373,0.168596
374,0.154461
375,0.184624
376,0.178005
377,0.20399
378,0.215382
379,0.248785
380,0.254714
381,0.302123
382,0.381662
383,0.377857
384,0.328394
385,0.316834
386,0.296852
387,0.240916
388,0.231178
389,0.215868
390,0.188535
391,0.161632
392,0.137266
393,0.127465
394,0.105011
395,0.0846135
396,0.0735979
397,0.073304
398,0.0684408
399,0.0680137
400,0.0674141
401,0.0686799
402,0.104799
403,0.12078
404,0.151142
405,0.182339
406,0.234897
407,0.260173
408,0.231629
409,0.241394
410,0.227381
411,0.22666
412,0.176641
413,0.128347
414,0.112703
415,0.113463
416,0.0932308
417,0.0788098
418,0.0745423
419,0.0733863
420,0.0741974
421,0.079425
422,0.0983134
423,0.132649
424,0.191458
425,0.253989
426,0.309784
427,0.35974
428,0.380616
429,0.369843
430,0.312379
431,0.288302
432,0.265075
433,0.247414
434,0.235669
435,0.233863
436,0.204586
437,0.159826
438,0.136435
439,0.112052
440,0.0918592
441,0.0772737
442,0.072579
443,0.0625039
444,0.062406
445,0.0617045
446,0.0619475
447,0.0632759
448,0.0630486
449,0.0629977
450,0.0627155
451,0.0631701
452,0.0650002
453,0.0661562
454,0.0683859
455,0.0885087
456,0.112229
457,0.122856
458,0.124412
459,0.134664
460,0.122347
461,0.13531
462,0.137093
463,0.134628
464,0.116014
465,0.103514
466,0.0980116
467,0.0889241
468,0.0779751
469,0.0782729
470,0.0737468
471,0.0780065
472,0.0753378
473,0.071568
474,0.0730845
475,0.0730414
476,0.0743581
477,0.0707999
478,0.103623
479,0.135091
480,0.143685
481,0.143747
482,0.111986
483,0.104595
484,0.117699
485,0.0970124
486,0.0743189
487,0.065153
488,0.0858048
489,0.0923216
490,0.0934581
491,0.0891122
492,0.0755181
493,0.0924157
494,0.0852836
495,0.0747186
496,0.0697105
497,0.0749342
498,0.0731864
499,0.0736998
500,0.0735783
501,0.0757963
502,0.0777439
503,0.102996
504,0.125553
505,0.128974
506,0.139738
507,0.135573
508,0.11737
509,0.120294
510,0.114694
511,0.113357
512,0.106163
513,0.0805615
514,0.0644829
515,0.0633112
516,0.0631466
517,0.0630917
518,0.0609678
519,0.0613949
520,0.0613205
521,0.0612695
522,0.061293
523,0.0606386
524,0.0604074
525,0.0612695
526,0.0774461
527,0.0952411
528,0.0875525
529,0.124851
530,0.169897
531,0.176046
532,0.179702
533,0.208105
534,0.176222
535,0.171355
536,0.194252
537,0.194993
538,0.159281
539,0.178303
540,0.161052
541,0.117801
542,0.129334
543,0.106186
544,0.126987
545,0.106394
546,0.123491
547,0.139331
548,0.130357
549,0.14142
550,0.130502
551,0.134311
552,0.135522
553,0.136341
554,0.140526
555,0.142286
556,0.143833
557,0.141086
558,0.129522
559,0.131286
560,0.128848
561,0.129863
562,0.130306
563,0.122586
564,0.132477
565,0.133061
566,0.13386
567,0.134107
568,0.126336
569,0.125952
570,0.13283
571,0.132528
572,0.141298
573,0.136302
574,0.135667
575,0.134773
576,0.136407
577,0.140738
578,0.145377
579,0.163839
580,0.144033
581,0.143152
582,0.143426
583,0.14912
584,0.141862
585,0.148289
586,0.164078
587,0.142258
588,0.134307
589,0.136744
590,0.143751
591,0.161915
592,0.175681
593,0.220794
594,0.241539
595,0.267956
596,0.296515
597,0.316427
598,0.372226
599,0.397251
600,0.418788
601,0.459163
602,0.49219
603,0.520064
604,0.57861
605,0.616065
606,0.637234
607,0.680011
608,0.691575
609,0.688883
610,0.681191
611,0.6873
612,0.692344
613,0.722584
614,0.677323
615,0.704241
616,0.700428
617,0.726574
618,0.796664
619,0.765648
620,0.753296
621,0.750486
622,0.744866
623,0.748801
624,0.740838
625,0.688143
626,0.701415
627,0.701008
628,0.674486
629,0.698151
630,0.69214
631,0.716052
632,0.714359
633,0.699084
634,0.743146
635,0.716393
636,0.714265
637,0.722733
638,0.703696
639,0.723693
640,0.719524
641,0.718203
642,0.719649
643,0.703136
644,0.694287
645,0.699213
646,0.69906
647,0.69995
648,0.688758
649,0.693911
650,0.70613
651,0.685168
652,0.682127
653,0.685925
654,0.693711
655,0.692877
656,0.693057
657,0.689017
658,0.685866
659,0.688895
660,0.689722
661,0.691348
662,0.688495
663,0.692199
664,0.682359
665,0.683307
666,0.691485
667,0.685756
668,0.6815
669,0.707556
670,0.70466
671,0.67844
672,0.683099
673,0.708673
674,0.706177
675,0.703571
676,0.682782
677,0.686599
678,0.693002
679,0.688887
680,0.689843
681,0.691478
682,0.729062
683,0.732922
684,0.72358
685,0.723392
686,0.726154
687,0.726554
688,0.741716
689,0.742719
690,0.706682
691,0.741794
692,0.742911
693,0.704433
694,0.743307
695,0.741257
696,0.699781
697,0.703939
698,0.700118
699,0.698492
700,0.701278
701,0.702364
702,0.701866
703,0.742974
704,0.743048
705,0.704966
706,0.733588
707,0.701972
708,0.699374
709,0.70343
710,0.741453
711,0.743632
712,0.744263
713,0.741896
714,0.740987
715,0.706721
716,0.706612
717,0.744984
718,0.747296
719,0.747461
720,0.745341
721,0.740505
722,0.705248
723,0.708775
724,0.742045
725,0.713861
726,0.714002
727,0.708904
728,0.708571
729,0.712576
730,0.713187
731,0.721272
732,0.721099
733,0.720731
734,0.718474
735,0.7093
736,0.704276
737,0.707921
738,0.70939
739,0.712639
740,0.705287
741,0.704597
742,0.706377
743,0.696164
744,0.696889
745,0.702344
746,0.694522
747,0.696207
748,0.699025
749,0.69877
750,0.700545
751,0.699531
752,0.700534
753,0.705616
754,0.702505
755,0.694303
756,0.69799
757,0.7006
758,0.704938
759,0.706298
760,0.700855
761,0.700381
762,0.699652
763,0.700785
764,0.699115
765,0.703959
766,0.704974
767,0.702101
768,0.705938
769,0.706333
770,0.706302
771,0.709672
772,0.701098
773,0.7496
774,0.747868
775,0.71171
776,0.716836
777,0.754887
778,0.752128
779,0.748836
780,0.703116
781,0.700361
782,0.70696
783,0.749099
784,0.746367
785,0.751736
786,0.74092
787,0.741167
788,0.74576
789,0.757069
790,0.715966
791,0.71086
792,0.698645
793,0.701572
794,0.703645
795,0.719116
796,0.834555
797,0.833787
798,0.832211
799,0.836024
800,0.71037
801,0.711436
802,0.709049
803,0.712212
804,0.712478
805,0.758719
806,0.750545
807,0.747359
808,0.750349
809,0.746669
810,0.752285
811,0.7531
812,0.753766
813,0.754017
814,0.715041
815,0.726985
816,0.715386
817,0.71633
818,0.882528
819,0.714179
820,0.708826
821,0.713654
822,0.707709
823,0.700702
824,0.700248
825,0.708728
826,0.701298
827,0.709406
828,0.70999
829,0.716358
830,0.837443
831,0.898328
832,0.889354
833,0.884809
834,0.885608
835,0.808107
836,0.810721
837,0.819714
838,0.797679
839,0.790242
840,0.806896
841,0.822567
842,0.824954
843,0.799647
844,0.768042
845,0.785951
846,0.804275
847,0.855108
848,0.808377
849,0.807241
850,0.791401
851,0.78019
852,0.754875
853,0.797115
854,0.80797
855,0.765475
856,0.729599
857,0.773814
858,0.784587
859,0.86331
860,0.729227
861,0.791766
862,0.80971
863,0.651679
864,0.655778
865,0.661938
866,0.602969
867,0.544247
868,0.529065
869,0.522063
870,0.50779
871,0.486853
872,0.494192
873,0.462341
874,0.455934
875,0.445933
876,0.453888
877,0.456972
878,0.467349
879,0.450843
880,0.413866
881,0.412628
882,0.387838
883,0.378715
884,0.398426
885,0.434463
886,0.424611
887,0.412259
888,0.40019
889,0.463031
890,0.437316
891,0.425618
892,0.429224
893,0.424067
894,0.442692
895,0.481884
896,0.488714
897,0.455036
898,0.435153
899,0.395542
900,0.418114
901,0.431947
902,0.485305
903,0.563217
904,0.606225
905,0.747535
906,0.763006
907,0.769923
908,0.774426
909,0.75928
910,0.698135
911,0.653219
912,0.694072
913,0.665771
914,0.506043
915,0.450491
916,0.428091
917,0.413694
918,0.430964
919,0.417334
920,0.507732
921,0.478459
922,0.459907
923,0.589551
924,0.532271
925,0.450463
926,0.346926
927,0.34421
928,0.35213
929,0.388347
930,0.382896
931,0.397568
932,0.42967
933,0.41713
934,0.429862
935,0.387912
936,0.32109
937,0.287028
938,0.237589
939,0.301696
940,0.264468
941,0.256948
942,0.246148
943,0.295677
944,0.335907
945,0.375266
946,0.348795
947,0.349802
948,0.343066
949,0.293674
950,0.288925
951,0.271988
952,0.231504
953,0.184741
954,0.160637
955,0.154285
956,0.141145
957,0.120207
958,0.0963736
