#framenum,queue density
1,0.093991
2,0.093991
3,0.093991
4,0.093991
5,0.093991
6,0.093991
7,0.093991
8,0.093991
9,0.093991
10,0.093991
11,0.093991
12,0.093991
13,0.093991
14,0.093991
15,0.093991
16,0.139495
17,0.139495
18,0.139495
19,0.139495
20,0.139495
21,0.139495
22,0.139495
23,0.139495
24,0.139495
25,0.139495
26,0.139495
27,0.139495
28,0.139495
29,0.139495
30,0.139495
31,0.188135
32,0.188135
33,0.188135
34,0.188135
35,0.188135
36,0.188135
37,0.188135
38,0.188135
39,0.188135
40,0.188135
41,0.188135
42,0.188135
43,0.188135
44,0.188135
45,0.188135
46,0.171531
47,0.171531
48,0.171531
49,0.171531
50,0.171531
51,0.171531
52,0.171531
53,0.171531
54,0.171531
55,0.171531
56,0.171531
57,0.171531
58,0.171531
59,0.171531
60,0.171531
61,0.166221
62,0.166221
63,0.166221
64,0.166221
65,0.166221
66,0.166221
67,0.166221
68,0.166221
69,0.166221
70,0.166221
71,0.166221
72,0.166221
73,0.166221
74,0.166221
75,0.166221
76,0.176488
77,0.176488
78,0.176488
79,0.176488
80,0.176488
81,0.176488
82,0.176488
83,0.176488
84,0.176488
85,0.176488
86,0.176488
87,0.176488
88,0.176488
89,0.176488
90,0.176488
91,0.312735
92,0.312735
93,0.312735
94,0.312735
95,0.312735
96,0.312735
97,0.312735
98,0.312735
99,0.312735
100,0.312735
101,0.312735
102,0.312735
103,0.312735
104,0.312735
105,0.312735
106,0.421045
107,0.421045
108,0.421045
109,0.421045
110,0.421045
111,0.421045
112,0.421045
113,0.421045
114,0.421045
115,0.421045
116,0.421045
117,0.421045
118,0.421045
119,0.421045
120,0.421045
121,0.562488
122,0.562488
123,0.562488
124,0.562488
125,0.562488
126,0.562488
127,0.562488
128,0.562488
129,0.562488
130,0.562488
131,0.562488
132,0.562488
133,0.562488
134,0.562488
135,0.562488
136,0.65327
137,0.65327
138,0.65327
139,0.65327
140,0.65327
141,0.65327
142,0.65327
143,0.65327
144,0.65327
145,0.65327
146,0.65327
147,0.65327
148,0.65327
149,0.65327
150,0.65327
151,0.679486
152,0.679486
153,0.679486
154,0.679486
155,0.679486
156,0.679486
157,0.679486
158,0.679486
159,0.679486
160,0.679486
161,0.679486
162,0.679486
163,0.679486
164,0.679486
165,0.679486
166,0.701349
167,0.701349
168,0.701349
169,0.701349
170,0.701349
171,0.701349
172,0.701349
173,0.701349
174,0.701349
175,0.701349
176,0.701349
177,0.701349
178,0.701349
179,0.701349
180,0.701349
181,0.704621
182,0.704621
183,0.704621
184,0.704621
185,0.704621
186,0.704621
187,0.704621
188,0.704621
189,0.704621
190,0.704621
191,0.704621
192,0.704621
193,0.704621
194,0.704621
195,0.704621
196,0.708387
197,0.708387
198,0.708387
199,0.708387
200,0.708387
201,0.708387
202,0.708387
203,0.708387
204,0.708387
205,0.708387
206,0.708387
207,0.708387
208,0.708387
209,0.708387
210,0.708387
211,0.704017
212,0.704017
213,0.704017
214,0.704017
215,0.704017
216,0.704017
217,0.704017
218,0.704017
219,0.704017
220,0.704017
221,0.704017
222,0.704017
223,0.704017
224,0.704017
